id	Figure	segment 1	segement 2	segment 3	segment 4	segment 5	segment 6	segment 7	segment 8	Duration 1	Duration 2	Duration 3	Duration 4	Duration 5	Duration 6	Duration 7	Duration 8	Trigger 1	Trigger 2	Trigger 3	Trigger 4	Trigger 5	Trigger 6	Trigger 7	Trigger 8
1	test.png	Tim loopt 's middags door de supermarkt. Op zijn lijstje staat van alles om zelf een verjaardagstaart te maken. Wanneer hij alles heeft gevonden gaat hij naar de kassa. Voor hem in het gangpad loopt een oudere vrouw. Ze is duidelijk ook onderweg naar de kassa, maar ze loopt minder snel dan Tim. Het gangpad is niet zo heel breed en er komt iemand van de andere kant aanlopen.	Tim houdt netjes zijn pas in en laat de oude dame voor gaan in de rij, hij heeft tenslotte geen haast.	Later die dag is hij bezig de taart te bakken, hij staat in de oven. Hij viert vandaag zijn verjaardag en heeft iedereen eigengemaakte taart beloofd. Tim staat niet bepaald bekend om zijn culinaire hoogstandjes. Een aantal van zijn vrienden en familie reageerde dan ook nogal sceptisch. Het is nu een kwestie van eer geworden dat deze taart goed lukt.	Tim	is 	blij	wanneer de cake uiteindelijk	perfect uit de oven komt	18000	5000	15000	500	250	500	2000	2000	1	16	17	18	19	20	21	22
2	test.png	Kim stapt raartekens middags in de tram naar huis. Ze checkt in met haar pas en loopt door naar achter om een plaatsje te zoeken. Achter Kim stapt ook nog een vrouw in, ze loopt achter haar aan. Ze is hoogzwanger en volgt Kim verder de tram in. Kim ziet achterin nog raartekenraartekenn vrije zitplaats en stevent er op af. Voordat Kim de zitplaats bereikt begint de tram schokkend weer te rijden.	Kim bedenkt zich niet en stapt opzij zodat de zwangere vrouw rustig kan gaan zitten in de slingerende tram.	Eenmaal thuis neemt Kim de stapel post door. Er zit een zoveelste brief bij van de belastingdienst. Ze is al maanden bezig om haar aanslag gecorrigeerd te krijgen. De belastingdienst heeft een fout gemaakt en weigert die te herstellen. Ze hoopt dat het eindelijk is opgelost, ze heeft er genoeg van.	Kim	is 	opgewekt	wanneer blijkt dat haar aanslag	nu eindelijk wel klopt	18000	5000	15000	500	250	500	2000	2000	2	16	17	18	19	20	21	22
3	test.png	Tom loopt naar huis van de supermarkt aan de overkant van de straat. Hij heeft raartekenraartekenn tas met boodschappen, maar die weegt niet zoveel. Met zijn vrije hand opent hij de zware portiekdeur van de flat. Achter hem loopt een vrouw met twee tassen, ze heeft moeite met het gewicht. Tom herkent haar en weet dat ze ook de flat in moet. Hij stopt even in de deuropening en denkt na wat te doen.	Hij wacht rustig tot ze er is en houdt de deur vriendelijk voor haar open, wat ze zichtbaar op prijs stelt.	Later die dag wil Tom een afspraak maken bij de dokter. Hij zoekt het nummer op en pakt de telefoon. Hij wil al een hele tijd een afspraak maken vanwege een zere knie. Tom is echter zo druk dat hij vaak geen zin heeft om te bellen, het wachten duurt altijd zo lang. Hij moet eigenlijk al weer de deur uit, maar wil toch even snel bellen.	Tom	is 	verrast	wanneer de telefoon over gaat	en hij gelijk de assistente krijgt	18000	5000	15000	500	250	500	2000	2000	3	16	17	80	19	20	21	22
4	test.png	Mark rent snel terug richting het eigen doel na de gefaalde aanval. De tegenstander heeft net de bal terugveroverd. Zijn team heeft moeite met terugschakelen naar verdedigen. Over de flank krijgt de spits van de tegenstander een geweldige lange pass. Mark sprint om hem af te snijden op weg naar het doel. Mark zet een tackle in en beseft zich meteen dat hij veel te hard in heeft gezet.	Mark trekt zijn been gauw in omdat hij niemand wil verwonden, ook al kan daardoor de aanval wel doorgaan.	De bal komt bij de keeper terecht en die speelt Mark aan. Mark neemt de bal aan en begint een solo actie langs de lijn. Hij passeert twee man en een derde komt veel te laat aan rennen. Mark trekt naar binnen richting de zestien meter van de tegenstander. Zijn teamgenoten zijn nog niet mee naar voren en dus legt Mark zelf aan om uit te halen.	Mark	is 	trots	als hij aanlegt om te schieten	en de keeper passeert en scoort	18000	5000	15000	500	250	500	2000	2000	4	16	17	18	19	20	21	22
5	test.png	Eva loopt snel over het plein richting het station. Ze gaat vandaag naar Haarlem voor een sollicitatiegesprek. Ze heeft zich goed voorbereid en is ruim op tijd van huis gegaan. Vlakbij de ingang naar de stationshal staat een zwerver te bedelen. Wanneer Eva langsloopt, houdt hij een papieren bekertje omhoog met wat kleingeld erin. De man kijkt hoopvol hoe Eva in haar broekzak graaft.	Eva vist wat muntgeld op en gooit dit in het bekertje van de zwerver, ze geeft altijd wat ze kan missen.	Ze loopt snel door en kijkt op het bord welk spoor ze moet hebben. Ze ziet dat er over 2 minuten een trein gaat en zet het op een rennen. Als ze deze trein kan halen, dan komt ze sowieso op tijd. Het is druk in de tunnel naar de sporen en Eva moet steeds uitwijken. Eindelijk bereikt ze de trap en sprint met drie treden per keer naar boven. 	Eva	is 	dankbaar	als de conducteur haar ziet rennen	en vriendelijk even op haar wacht	18000	5000	15000	500	250	500	2000	2000	5	16	17	18	19	20	21	22
6	test.png	Anna staat aan de kassa bij de supermarkt. Terwijl de kassiraartekenre de laatste boodschappen scant, pakt ze zoveel mogelijk in. Nadat ze het laatste artikel heeft gescand noemt ze het bedrag. Anna betaalt met 50 euro en de kassiraartekenre geeft haar wisselgeld terug. Anna ziet meteen dat ze haar veel te veel wisselgeld geeft. Ze weet dat kassiraartekenres flink problemen kunnen krijgen bij een kasverschil.	Anna wijst haar er dan ook vriendelijk op dat ze een fout heeft gemaakt, ze wil niet dat ze ontslagen wordt.	Na de supermarkt gaat ze ook nog even naar de boekwinkel. Ze moet echter opschieten want haar parkeerkaartje verloopt zo. Bij de boekwinkel kan ze niet gelijk vinden wat ze zoekt. Ze vraagt het de eigenaar en die helpt haar het boek te vinden. Anna rekent af en loopt, zo snel als ze kan met alle tassen, naar de parkeerplaats, ze is nu echt te laat.	Anna	wordt	vrolijk	als de parkeerwachter haar ziet 	en besluit de boete te verscheuren	18000	5000	15000	500	250	500	2000	2000	6	16	17	18	19	20	21	22
7	test.png	Mike is op weg naar de sportschool op een doordeweekse avond. Het begint net wat te schemeren en het regent gestaag. Hij steekt over bij de stoplichten en gaat de hoek om. Aan het eind van de straat ziet hij mensen in en uit lopen bij de sportschool. Aan de overkant van de straat fietst een oudere vrouw de andere kant op. Mike ziet hoe ze plots begint te slingeren en met fiets en al omvalt.	Mike bedenkt zich niet en rent er naar toe en helpt haar overeind, ze mankeert niks maar is blij met de hulp.	Eenmaal in de sportschool kleedt Mike zich om. Dan loopt hij snel naar de loopbanden, waar het altijd druk is. De loopbanden staan boven en halverwege de trap ziet hij dat zijn veter los zit. Hij bukt zich om deze te strikken en haast zich dan verder naar boven. Hij ziet dat er nog eentje vrij is, maar een andere man loopt ook op de band af.	Mike	is 	dankbaar	wanneer de man die ook wil rennen	hem vriendelijk voor laat gaan	18000	5000	15000	500	250	500	2000	2000	7	16	17	18	19	20	21	22
8	test.png	Emma loopt over de Dam richting de Kalverstraat. Ze moet een verjaardagscadeautje halen voor een vriend. Het is gelukkig niet heel druk, maar het loopt al tegen sluitingstijd. Op de hoek van de Kalverstraat zit een blinde straatmuzikant. Hij speelt de sterren van de hemel en zingt met een doorleefde stem. Op de gitaarhoes voor hem ligt al heel wat kleingeld en zelfs een paar briefjes.	Emma heeft alleen een tientje, maar de muzikant is zo goed dat ze het hem gunt, hij kan het vast gebruiken.	Later die week is de verjaardag waarvoor ze op pad was. Er zijn al gauw 25 mensen en het feestje is in volle gang. Emma kent echter niet veel van de mensen die er zijn, en bekenden zijn er nog niet. Ze probeert zich in het gesprek van een groepje naast zich te mengen. Emma gaat erbij staan en wanneer een stilte valt doet ze ook een duit in het zakje.	Emma	voelt	blijdschap	opkomen wanneer het groepje	haar gelijk welkom doet voelen	18000	5000	15000	500	250	500	2000	2000	8	16	17	18	19	20	21	22
9	test.png	Bart stapt uit de auto en loopt richting het uitvaartcentrum. Hij is hier met een paar andere mensen van het werk voor de uitvaart van een collega. Hij kende de man niet goed, maar sommigen van zijn collega's waren wel close. Hij zoekt samen met zijn collega's een plekje achterin. De dienst begint en na het eerste nummer spreekt zijn vrouw. Een collega van Bart begint zachtjes te huilen.	Bart slaat een arm om haar heen om haar te troosten en haar steun te bieden, wat ze duidelijk op prijs stelt.	Een week later heeft Bart een belangrijke afspraak met zijn manager. Een vervroegd kwartaalgesprek om zijn functioneren te evalueren. Bart heeft geen redenen om te denken dat zijn manager iets te klagen zou hebben. Maar zo'n gesprek is toch altijd spannend en stressvol. Als ze eenmaal zitten en de beleefdheden hebben gehad, steekt zijn manager van wal.	Bart	is 	opgelucht	Wanneer zijn manager hem vertelt	dat hij een promotie en opslag krijgt	18000	5000	15000	500	250	500	2000	2000	9	16	17	18	19	20	21	22
10	test.png	Ilse staat te wachten bij de pinautomaat. Er staat raartekenraartekenn man voor haar en niemand achter haar. Terwijl ze wacht kijkt Ilse wat op haar telefoon en bedenkt hoeveel geld ze op zal nemen. Vanuit haar ooghoek ziet Ilse dat de man voor haar bijna klaar is. Ilse stopt haar telefoon weg en pakt haar portemonnee. Als de man wegloopt, ziet Ilse een briefje van 50 vallen maar de man heeft niks door.	Ilse roept de man gauw na en pakt het briefje van 50 op om terug te geven, de man bedankt Ilse uitvoerig.	Later die avond is Ilse onderweg naar huis. Ze bedenkt zich ineens dat ze niks meer voor het ontbijt in huis heeft. Ze kijkt hoe laat het is en gaat meteen wat sneller lopen. Er is gelukkig een Albert Heijn vlakbij, maar die gaat al bijna dicht. Als Ilse de hoek om loopt ziet ze hoe een medewerker een bord binnenhaalt en ze gaat nog sneller lopen.	Ilse	is 	dankbaar	wanneer de medewerker haar ziet	en toch nog even snel binnenlaat 	18000	5000	15000	500	250	500	2000	2000	10	16	17	18	19	20	21	22
